564035860098_new2_400.log,1564026723416.log,1564027299692.log,1564037713124.log,1564040012900.log,1564040435706.log,1564052081570.log,1564462932966.log,1564463268266.log,1564463661152.log,1564463980207.log,1564464182433.log,1564466253983.log,1564468461018.log,1564471188022.log,1564981396164.log,1565069728855.log,
3570,1977.5,2330.4,2290,1785,,950,,,375,,,1876.5,,,3359,998.5,
3595,1902.5,2330.4,2220,1800,,875,,,300,,,1876.5,,,3359,973.5,
3595,1827.5,2330.4,2135,1730,,800,,,265,,,1876.5,,,3359,938.5,
3595,1762.5,2330.4,2070,1665,,790,,,190,,,1876.5,,,,953.5,
3595,1687.5,2330.4,1995,1615,,790,,,135,,,1876.5,,,,1288.5,
3595,1612.5,2330.4,1965,1550,,780,,,140,,,1876.5,,,,1258.5,
3565,1537.5,2305.4,1950,1540,,830,,,90,,,1866.5,,,,1258.5,
3510,2017.5,2225.4,1930,1465,,830,,,15,,,2306.5,,,,1248.5,
3435,1957.5,2155.4,1895,1400,,760,,,0,,,2336.5,,,,1253.5,
3360,2412.5,2125.4,1830,1340,,685,,,0,,,2321.5,,,,1228.5,
3290,2412.5,2350.4,1760,1625,,610,,,,,,2451.5,,,,1168.5,
3215,2652.5,2820.4,2000,1775,,575,,,,,,2491.5,,,,1138.5,
3890,2652.5,2820.4,2265,1685,,520,,,,,,2471.5,,,,1138.5,
3815,2652.5,2820.4,2200,1995,,470,,,,,,2411.5,,,,1138.5,
4495,2652.5,2820.4,2125,1950,,435,,,,,,2351.5,,,,1138.5,
4420,2652.5,2765.4,2050,2370,,435,,,,,,2311.5,,,,1138.5,
4345,2652.5,2725.4,2425,2370,,615,,,,,,2266.5,,,,1138.5,
4270,2817.5,2675.4,2350,2370,,580,,,,,,2191.5,,,,1138.5,
4195,2937.5,2600.4,2610,2370,,515,,,,,,2201.5,,,,1148.5,
4345,2912.5,2525.4,2600,2370,,475,,,,,,2431.5,,,,1083.5,
4270,2832.5,2450.4,2550,2370,,425,,,,,,2371.5,,,,1488.5,
4420,2772.5,2375.4,2475,2370,,360,,,,,,2321.5,,,,1443.5,
4350,2712.5,2600.4,2435,2345,,325,,,,,,2286.5,,,,1378.5,
4275,2792.5,2600.4,2390,2270,,350,,,,,,2251.5,,,,1643.5,
4250,2747.5,2600.4,2375,2250,,980,,,,,,2261.5,,,,1578.5,
4180,2747.5,2600.4,2445,2480,,950,,,,,,2246.5,,,,1538.5,
4105,2747.5,2600.4,2365,2405,,875,,,,,,2181.5,,,,1468.5,
4030,2747.5,2600.4,2295,2355,,820,,,,,,2166.5,,,,1403.5,
3975,2747.5,2600.4,2220,2290,,745,,,,,,2161.5,,,,1323.5,
3900,2747.5,2580.4,2165,2235,,690,,,,,,2091.5,,,,1258.5,
3825,2747.5,2510.4,2495,2170,,630,,,,,,2026.5,,,,1188.5,
3755,,2475.4,2505,2085,,715,,,,,,1946.5,,,,1103.5,
3680,,2475.4,2475,2015,,640,,,,,,1976.5,,,,1038.5,
3635,,2475.4,2430,1935,,615,,,,,,2271.5,,,,1278.5,
3560,,2475.4,2770,1875,,570,,,,,,2196.5,,,,1203.5,
3605,,2465.4,2695,1830,,695,,,,,,2136.5,,,,1158.5,
3530,,2465.4,2645,1745,,645,,,,,,2141.5,,,,1338.5,
3455,,2465.4,2620,2075,,600,,,,,,2126.5,,,,1278.5,
3435,,2425.4,2625,2025,,555,,,,,,2261.5,,,,1218.5,
3420,,2860.4,2570,1970,,510,,,,,,2226.5,,,,1218.5,
3390,,2815.4,2495,1890,,855,,,,,,2181.5,,,,1143.5,
3310,,2800.4,2435,1805,,815,,,,,,2121.5,,,,1133.5,
3240,,,2380,1830,,740,,,,,,2066.5,,,,1093.5,
3200,,,2360,1770,,925,,,,,,2006.5,,,,1028.5,
