564035860098_new2_400.log,1564026723416.log,1564027299692.log,1564037713124.log,1564040012900.log,1564040435706.log,1564052081570.log,1564462932966.log,1564463268266.log,1564463661152.log,1564463980207.log,1564464182433.log,1564466253983.log,1564468461018.log,1564471188022.log,1564981396164.log,1565069728855.log,
 11525, 10162.5, 2697.6, 11515, 10610, 6926.5, 8450,,, 6792, 10170,, 878.5,,, 9015, 9396.5,
 11880, 10237.5, 3212.6, 11585, 10775, 6926.5, 8450,,, 6872, 10170,, 878.5,,, 9015, 9471.5,
 11955, 10312.5, 3777.6, 11655, 10850, 6926.5, 8450,,, 6947, 10170,, 878.5,,, 9015, 9561.5,
 12330, 10387.5, 3867.6, 11730, 10920, 6926.5, 8465,,, 7017,,, 878.5,,, 9015, 9641.5,
 12415, 10467.5, 3967.6, 11815, 11005, 6926.5, 8525,,, 7077,,, 878.5,,, 9015, 9746.5,
 12835, 10542.5, 4047.6, 11895, 11080, 6926.5, 8525,,, 7292,,, 878.5,,, 9015, 9851.5,
 13200, 10617.5, 4087.6, 12055, 11145,, 8525,,, 7367,,, 878.5,,, 9015, 9926.5,
 13285, 10687.5, 4162.6, 12160, 11225,, 8525,,, 7442,,, 878.5,,, 9015, 9996.5,
 13865, 10762.5, 4247.6, 12265, 11330,, 8525,,, 7512,,, 878.5,,, 9015, 10066.5,
 13950, 10817.5, 4322.6, 12340, 11410,, 8525,,, 7577,,, 878.5,,, 9015, 10186.5,
 14050, 10902.5, 4397.6, 12415, 11480,, 8525,,, 7707,,, 878.5,,, 9015, 10266.5,
 14120, 10977.5, 4537.6, 12485, 11560,, 8525,,, 8077,,, 883.5,,, 9015, 10341.5,
 14170, 11032.5, 4847.6, 12595, 11865,, 8525,,, 8152,,, 968.5,,, 9015, 10411.5,
 14270, 11107.5, 4847.6, 12670, 11935,, 8525,,, 8232,,, 1033.5,,, 9015, 10536.5,
 14280, 11182.5, 4847.6, 12750, 12625,, 8560,,, 8327,,, 1033.5,,, 9015, 10611.5,
 14305, 11257.5, 4847.6, 12820, 12770,, 8635,,, 8402,,, 1033.5,,, 9015, 10706.5,
 14305, 11332.5, 4847.6, 12905, 12840,, 8710,,, 8447,,, 1033.5,,, 9015, 10791.5,
 14305, 11397.5, 4847.6, 12970, 12905,, 8720,,, 8522,,, 1033.5,,,, 10936.5,
 14305, 11472.5, 4847.6, 13045, 13005,, 8720,,, 8617,,, 1033.5,,,, 11391.5,
 14305, 11547.5, 4847.6, 13125, 13070,, 8770,,, 8752,,, 1033.5,,,, 11421.5,
 14335, 11622.5, 4872.6, 13200, 13190,, 8820,,, 8802,,, 1043.5,,,, 11431.5,
 14390, 12132.5, 4952.6, 13310, 13265,, 8820,,, 8877,,, 1593.5,,,, 11441.5,
 14465, 12192.5, 5022.6, 13355, 13340,, 8890,,, 8892,,, 1753.5,,,, 11456.5,
 14540, 12727.5, 5052.6, 13420, 13420,, 8965,,, 8892,,, 1848.5,,,, 11481.5,
 14610, 12767.5, 5417.6, 13490, 13805,, 9040,,,,,, 2098.5,,,, 11551.5,
 14685, 13007.5, 5937.6, 13870, 14075,, 9135,,,,,, 2248.5,,,, 11621.5,
 15500, 13007.5, 5937.6, 14265, 14165,, 9220,,,,,, 2278.5,,,, 11621.5,
 15575, 13007.5, 5937.6, 14350, 14585,, 9310,,,,,, 2348.5,,,, 11621.5,
 16385, 13007.5, 5937.6, 14425, 14670,, 9405,,,,,, 2428.5,,,, 11621.5,
 16460, 13007.5, 5992.6, 14500, 15180,, 9405,,,,,, 2508.5,,,, 11621.5,
 16535, 13007.5, 6032.6, 15015, 15180,, 9615,,,,,, 2603.5,,,, 11621.5,
 16610, 13172.5, 6082.6, 15090, 15180,, 9670,,,,,, 2678.5,,,, 11621.5,
 16685, 13292.5, 6157.6, 15440, 15180,, 9745,,,,,, 2778.5,,,, 11631.5,
 16955, 13317.5, 6232.6, 15570, 15180,, 9825,,,,,, 3138.5,,,, 11716.5,
 17030, 13397.5, 6307.6, 15640, 15180,, 9895,,,,,, 3198.5,,,, 12191.5,
 17270, 13457.5, 6382.6, 15715, 15180,, 9970,,,,,, 3318.5,,,, 12236.5,
 17340, 13527.5, 6747.6, 15815, 15205,, 10045,,,,,, 3433.5,,,, 12301.5,
 17415, 13737.5, 6747.6, 15910, 15280,, 10200,,,,,, 3508.5,,,, 12716.5,
 17530, 13822.5, 6747.6, 16015, 15380,, 10950,,,,,, 3638.5,,,, 12781.5,
 17600, 13822.5, 6747.6, 16225, 15730,, 10980,,,,,, 3723.5,,,, 12881.5,
 17675, 13822.5, 6747.6, 16305, 15805,, 11055,,,,,, 3798.5,,,, 12961.5,
 17750, 13822.5, 6747.6, 16375, 15875,, 11120,,,,,, 3813.5,,,, 13026.5,
 17835, 13822.5, 6747.6, 16450, 15950,, 11195,,,,,, 3858.5,,,, 13106.5,
 17910, 13822.5, 6767.6, 16515, 16025,, 11270,,,,,, 3938.5,,,, 13171.5,
 17985, 13822.5, 6837.6, 16985, 16090,, 11340,,,,,, 4013.5,,,, 13241.5,
 18055,, 6872.6, 17115, 16175,, 11445,,,,,, 4093.5,,,, 13336.5,
 18130,, 6872.6, 17185, 16245,, 11520,,,,,, 4253.5,,,, 13411.5,
 18205,, 6872.6, 17260, 16325,, 11605,,,,,, 4698.5,,,, 13781.5,
 18280,, 6872.6, 17730, 16405,, 11660,,,,,, 4773.5,,,, 13856.5,
 18425,, 6942.6, 17815, 16460,, 11925,,,,,, 4853.5,,,, 13931.5,
 18500,, 6942.6, 17875, 16545,, 11975,,,,,, 4978.5,,,, 14221.5,
 18575,, 7022.6, 18010, 17005,, 12050,,,,,, 5093.5,,,, 14301.5,
 18645,, 7062.6, 18115, 17115,, 12125,,,,,, 5358.5,,,, 14371.5,
 18700,, 7617.6, 18180, 17170,, 12200,,,,,, 5463.5,,,, 14501.5,
 18830,, 7662.6, 18255, 17250,, 12665,,,,,, 5538.5,,,, 14576.5,
 18910,, 7677.6, 18325, 17335,, 12735,,,,,, 5608.5,,,, 14696.5,
 18980,,, 18420, 17500,, 12810,,,,,, 5703.5,,,, 14776.5,
 19050,,, 18520, 17560,, 13065,,,,,, 5773.5,,,, 14851.5,
 19345,,, 18685, 18030,, 13125,,,,,, 5848.5,,,, 14961.5,
 19475,,, 18685, 18095,, 13200,,,,,, 5938.5,,,, 15106.5,
 19555,,, 18705, 18115,, 13260,,,,,, 6028.5,,,, 15181.5,
 19655,,, 18780, 18210,, 13320,,,,,, 7093.5,,,, 15346.5,
 20020,,, 18870, 18285,, 13360,,,,,, 7168.5,,,, 15426.5,
 20115,,, 18965, 18390,, 13385,,,,,, 7228.5,,,, 15606.5,
 20215,,, 19045, 18505,, 13460,,,,,, 7398.5,,,, 15706.5,
 20295,,, 19120, 18580,, 13535,,,,,, 7468.5,,,, 15796.5,
 20370,,, 19195, 18655,, 13610,,,,,, 7538.5,,,, 15876.5,
 20485,,, 19300, 18715,, 13685,,,,,, 7623.5,,,, 15951.5,
 20555,,, 19385, 18800,, 13745,,,,,, 7713.5,,,, 16021.5,
 20650,,, 19450, 18955,, 13835,,,,,, 7813.5,,,, 16101.5,
 20750,,, 19620, 19065,, 13910,,,,,, 7883.5,,,, 16171.5,
 21275,,, 19695, 19145,, 13985,,,,,, 7963.5,,,, 16316.5,
 21350,,, 19795, 19220,, 14425,,,,,, 8033.5,,,, 16391.5,
 21435,,, 19875, 19300,, 14495,,,,,, 8113.5,,,, 16456.5,
 21505,,, 20145, 19390,, 14540,,,,,, 8178.5,,,, 16541.5,
 21620,,, 20270, 19490,, 14615,,,,,, 8193.5,,,, 16616.5,
 21710,,, 20345, 19575,, 14680,,,,,, 8303.5,,,, 16691.5,
 21780,,, 20435, 19655,, 14750,,,,,, 8383.5,,,, 16851.5,
 21855,,, 20520, 19725,, 14840,,,,,, 8428.5,,,, 17016.5,
 21925,,, 20590, 19815,, 14920,,,,,, 8458.5,,,, 17081.5,
 21990,,, 20685, 19885,, 14980,,,,,, 8538.5,,,, 17176.5,
 22515,,, 20765, 19960,, 15020,,,,,, 8603.5,,,, 17306.5,
 22595,,, 21120, 20040,, 15095,,,,,, 8693.5,,,, 17386.5,
 22675,,, 21220, 20110,, 15120,,,,,, 8773.5,,,, 17466.5,
 22785,,, 21665, 20185,, 15185,,,,,, 8918.5,,,, 17466.5,
 22855,,, 21950, 20270,, 15250,,,,,, 8958.5,,,, 17466.5,
 22930,,, 22020, 20740,, 15310,,,,,, 9033.5,,,, 17466.5,
 23155,,, 22095, 20790,, 15365,,,,,, 9033.5,,,, 17466.5,
 23220,,, 22175, 20880,, 15420,,,,,, 9043.5,,,, 17466.5,
 23220,,, 22320, 21045,, 15420,,,,,, 9113.5,,,, 17466.5,
 23235,,, 22710, 21115,, 15420,,,,,, 9173.5,,,, 17466.5,
 23235,,, 22810, 21195,, 15420,,,,,, 9258.5,,,, 17466.5,
 23745,,, 22910, 21245,,,,,,,, 9363.5,,,, 17466.5,
 23760,,, 22995, 21245,,,,,,,, 9463.5,,,, 17466.5,
 23900,,, 23075, 21305,,,,,,,, 9548.5,,,, 17466.5,
 23990,,, 23125, 21370,,,,,,,, 9628.5,,,, 17466.5,
 24075,,, 23125, 21430,,,,,,,, 9713.5,,,, 17466.5,
 24260,,, 23165, 21525,,,,,,,, 9793.5,,,, 17466.5,
 24395,,, 23265, 21600,,,,,,,, 9913.5,,,, 17466.5,
 24480,,, 23370, 21630,,,,,,,, 10043.5,,,,,
