1565252613611.log,1565252899618.log,1565253630567.log,1565254384251.log,1565255177642.log,1565318254171.log,1565321934230.log,1565322807374.log,1565322966334.log,1565323287974.log,1565325303443.log,1565328768769.log,1565329424516.log,1565329644692.log,1565330197712.log,1565334495609.log,1565335268041.log,
,,665,,1175,1550,1200,640,,,,,,,720,2025,,
,,790,,1095,2025,1120,650,,,,,,,645,2425,,
,,715,,1220,1975,1055,580,,,,,,,615,2685,,
,,690,,1155,1900,975,505,,,,,,,555,2790,,
,,655,,1070,2575,895,495,,,,,,,885,2690,,
,,585,,1085,2500,825,425,,,,,,,1440,2650,,
,,590,,1130,2425,750,415,,,,,,,1400,2615,,
,,610,,1130,2350,920,355,,,,,,,1360,2530,,
,,610,,1130,2310,880,295,,,,,,,1275,2495,,
,,610,,1055,2265,825,240,,,,,,,1715,2405,,
,,610,,1075,2245,790,180,,,,,,,1735,2325,,
,,610,,1460,2170,750,185,,,,,,,1665,2265,,
,,610,,1405,2095,715,190,,,,,,,1625,2235,,
,,610,,1350,2040,670,195,,,,,,,1585,2180,,
,,1135,,1265,2050,820,195,,,,,,,1575,2170,,
,,1085,,1250,2000,740,170,,,,,,,1665,2095,,
,,1045,,1540,2000,665,120,,,,,,,1585,2025,,
,,1050,,1480,1945,1150,140,,,,,,,1510,1950,,
,,1050,,1410,1920,1115,160,,,,,,,1505,2400,,
,,1050,,1380,1840,1115,175,,,,,,,1470,2350,,
,,1040,,1310,1775,1115,170,,,,,,,1470,2310,,
,,995,,1325,1695,1115,175,,,,,,,1470,2230,,
,,1410,,1275,1720,2095,195,,,,,,,1470,2155,,
,,1355,,1225,1680,2115,155,,,,,,,1470,2085,,
,,1955,,1900,1595,2125,165,,,,,,,1670,2035,,
,,2195,,1845,1595,2125,115,,,,,,,1630,1975,,
,,2155,,1815,1520,2140,30,,,,,,,1745,1975,,
,,2105,,1740,1455,2120,0,,,,,,,1795,1895,,
,,2035,,1700,1415,2130,0,,,,,,,1775,1895,,
,,1955,,1635,1645,2200,0,,,,,,,1775,1855,,
,,1900,,1555,1570,2140,,,,,,,,1775,1800,,
,,1890,,2090,1495,2155,,,,,,,,1805,1720,,
,,1890,,2045,1440,2130,,,,,,,,1835,1800,,
,,1890,,2345,1970,2065,,,,,,,,1820,1740,,
,,1890,,2270,1935,2015,,,,,,,,1820,1670,,
,,1890,,2200,1895,1995,,,,,,,,1790,1615,,
,,1890,,2145,1835,1910,,,,,,,,1725,1550,,
,,1890,,2095,1780,2030,,,,,,,,1705,1550,,
,,1890,,2110,1705,1985,,,,,,,,1655,1485,,
,,1890,,2040,1705,2110,,,,,,,,1610,1440,,
,,1880,,1970,1705,2580,,,,,,,,1585,1370,,
,,1810,,1925,1705,2525,,,,,,,,1575,1315,,
,,1755,,1880,2005,2450,,,,,,,,1520,1260,,
,,1680,,1810,2005,2385,,,,,,,,1460,1210,,
,,1610,,1730,2005,2315,,,,,,,,1420,1140,,
,,1735,,1755,2470,2240,,,,,,,,1420,1155,,
,,1865,,2080,2470,2380,,,,,,,,1420,1070,,
,,2490,,2055,2470,2630,,,,,,,,1460,995,,
